업체명,소재지,위도,경도
중부동물병원,대구광역시 중구 봉산동 53번지 2호,35.8649779,128.5947829
동산동물병원,대구광역시 중구 남성로 1번지 15통 5반  205호,35.8696772,128.5874906
대구S동물병원,"대구광역시 중구 대신동 305번지 1호 4통 4반 태왕아너스스카이 상가 101호, 102호, 103호",35.8689581,128.5817149
고려애견종합병원,대구광역시 중구 남산동 661번지 1호,35.8628658,128.5928393
오원석 황금동물병원,대구광역시 중구 대봉동 48번지 13호,35.8600181,128.6046731
삼덕종합동물병원,대구광역시 중구 삼덕동1가 41번지 8호,35.8648391,128.5984071
동인동물병원,대구광역시 중구 동인동4가 332번지,35.86843,128.6096901
대구축산 동물병원,대구광역시 중구 대봉동 715번지 15호,35.8634405,128.5999744
달성공원 동물병원,대구광역시 중구 달성동 294번지 1호 달성공원,35.874004,128.5780991
원동물병원,대구광역시 중구 대봉동 40번지 135호,35.8585178,128.6054954
열린동물병원,대구광역시 동구 신암동 799번지 1호,35.8816911,128.6160415
박동물병원,대구광역시 동구 신암동 1476번지,35.8866893,128.6380636
대구동물병원,대구광역시 동구 신천동 538번지 22호,35.8740821,128.6164189
대경동물병원,대구광역시 동구 신천동 137번지 4호,35.8684165,128.6258051
박순복동물병원,대구광역시 동구 효목동 80번지 7호,35.8869044,128.6398186
21세기종합동물병원,대구광역시 동구 효목동 64번지 6호,35.885902,128.6367902
신라동물병원,대구광역시 동구 효목동 291번지 13호,35.8798421,128.6355024
이끌림동물병원,대구광역시 동구 방촌동 1118번지 109호,35.8781015,128.6719585
이스턴24시동물병원,대구광역시 동구 신기동 179번지 5호,35.8727096,128.7038024
율하동물병원,대구광역시 동구 율하동 1292번지,35.8647139,128.6909482
우리가족 동물병원,대구광역시 동구 율하동 1107번지,35.8728884,128.6984929
쿨펫동물병원,대구광역시 동구 율하동 1117번지 롯데마트 4층 동물병원,35.8688128,128.6927563
앨리스동물병원,대구광역시 동구 신서동 621번지 22호,35.8716894,128.7250073
이시아동물병원,대구광역시 동구 봉무동 1520번지 1호  106호,35.9275063,128.6418887
킴스동물병원,대구광역시 동구 방촌동 1118번지 120호,35.8781015,128.6719585
다사랑종합동물병원,대구광역시 동구 신암동 1196번지 57호,35.8787087,128.6100192
쿨펫동물병원,대구광역시 동구 신서동 520번지 1호 이마트 2층,35.8707716,128.7274328
봄이온동물병원,대구광역시 동구 각산동 444번지 7호,35.8761122,128.714156
변수의과의원,대구광역시 동구 검사동 957번지 41호,35.8839037,128.6577157
진동물병원,대구광역시 서구 비산동 400번지 16호,35.8721329,128.5756387
보경동물병원,대구광역시 서구 비산동 511번지 48호,35.8770635,128.571023
더펫동물병원,대구광역시 서구 비산동 1302번지 9호,35.8890742,128.5607441
아이펫동물병원,대구광역시 서구 평리동 1360번지,35.8638288,128.5565623
페츠업 동물병원,대구광역시 서구 평리동 1371번지 3호,35.8700753,128.5553225
더난 동물병원,대구광역시 서구 중리동 33번지 4호,35.8693197,128.5504981
삼성동물병원,대구광역시 서구 내당동 230번지 10호,35.8601911,128.5571547
현대동물병원,대구광역시 남구 봉덕동 554번지 2호,35.8449081,128.6004204
효성동물병원,대구광역시 남구 봉덕동 1045번지 20호,35.838807,128.6042144
이천종합동물병원,대구광역시 남구 봉덕동 554번지 10호,35.8449888,128.59979
우리동물병원,대구광역시 남구 봉덕동 555번지 9호,35.8445575,128.599696
남부동물병원,대구광역시 남구 대명동 807번지 13호 45통 1반,35.8404167,128.5752102
독사랑동물병원,대구광역시 남구 대명동 176번지 7호,35.8432294,128.5866446
중앙동물병원,대구 남구 대명로 38 무방상가 1층 8호,35.8384247,128.5618884
대흥동물병원,대구광역시 남구 대명동 332번지 16호 17통 2반,35.8407469,128.582245
리더스동물병원,대구광역시 남구 대명동 1636번지 19호,35.8396632,128.5708622
알프스동물병원,대구광역시 남구 봉덕동 562번지 15호,35.8411377,128.5993836
대경연합동물영상센터,대구광역시 남구 대명동 1897번지 7호 2층,35.8528298,128.5837759
푸른동물병원,대구광역시 북구 고성동3가 1번지 5호,35.8834695,128.5887044
아프리카 동물병원,대구광역시 북구 침산동 241번지 1호,35.8867368,128.59145
경북가축병원,대구광역시 북구 노원동2가 290번지 3호,35.8886407,128.5731607
대구24시동물병원,대구광역시 북구 노원동1가 1번지 8호,35.8898296,128.5825078
복현동물병원,대구광역시 북구 산격동 495번지 42호,35.8984419,128.6135868
경북대학교 수의과대학 부속동물병원,대구광역시 북구 산격동 1370번지 1호 경북대학교 수의과대학,35.8898417,128.6126953
가나동물병원,대구광역시 북구 산격동 1216번지 4호,35.8994947,128.6080816
북부동물병원,대구광역시 북구 대현동 229번지 19호,35.8860037,128.6032923
칠곡종합동물병원,대구광역시 북구 태전동 415번지 1호  102호,35.9224937,128.5465525
강북동물병원,대구광역시 북구 태전동 1049번지 4호,35.9262711,128.5477177
키다리동물병원,대구광역시 북구 구암동 765번지 2호 동재빌딩 101호,35.9437584,128.5642558
동명동물병원,대구광역시 북구 읍내동 781번지 1호,35.9431455,128.5504632
강동물병원,대구광역시 북구 관음동 1383번지 14호,35.9388607,128.5492709
늘푸른종합동물병원,대구광역시 북구 관음동 1386번지 7호,35.9377761,128.5489519
굿모닝동물병원,대구광역시 북구 동천동 932번지 4호,35.9370018,128.5571934
도그플러스 동물병원(미유펫 대구점),대구광역시 북구 동천동 668번지 1호 13통 5반 칠곡홈플러스 301호,35.9386142,128.5598081
가온동물병원,대구광역시 북구 서변동 1746번지 9호,35.9216867,128.5964172
대구축협동물병원,대구광역시 북구 검단동 700번지 2호,35.9152094,128.6227874
하루동물병원,대구광역시 북구 검단동 573번지,35.9123558,128.6133519
신한동물병원,대구광역시 북구 칠성동2가 2번지 2호,35.8856733,128.5877583
다온동물병원,대구광역시 북구 태전동 1113번지,35.9219392,128.544655
준 동물병원,대구광역시 북구 복현동 209번지 1호,35.8977464,128.6165303
플러스동물의료센터,대구광역시 북구 칠성동2가 371번지 2호,35.879674,128.5963911
태전동물병원,대구광역시 북구 태전동 1068번지,35.9290044,128.5474052
올리브동물병원,대구광역시 북구 산격동 1838번지,35.9016345,128.6080747
세븐동물병원,대구광역시 북구 동천동 905번지 2호,35.9426903,128.5584824
라라(Lara) 동물병원,대구광역시 북구 침산동 269번지 10호 명성푸르지오 101동 A1호,35.8893813,128.5901516
순풍동물병원,대구광역시 북구 태전동 1195번지,35.9219392,128.544655
범어동물병원,대구광역시 수성구 범어동 225번지 17호,35.8599487,128.6359215
제니스동물병원,대구광역시 수성구 범어동 167번지 18호,35.8591362,128.6334416
로얄동물병원,대구광역시 수성구 범어동 1161번지,35.8668445,128.6185309
보현동물병원,대구광역시 수성구 범어동 96번지 9호,35.8541999,128.6386867
만촌동물병원,대구광역시 수성구 만촌동 974번지 1호,35.868101,128.6464221
선동물병원,대구광역시 수성구 만촌동 1328번지 13호,35.8725572,128.6379669
금강동물병원,대구광역시 수성구 만촌동 1326번지 8호,35.8716849,128.6358869
메트로 동물병원,대구광역시 수성구 만촌동 950번지 1호,35.8657044,128.6403679
조은동물의료원,대구광역시 수성구 만촌동 1039번지 28호,35.8585071,128.6431068
신세계동물병원,대구광역시 수성구 수성동1가 218번지 4호,35.8547498,128.6132268
나라동물병원,대구광역시 수성구 수성동1가 293번지 2호,35.8518511,128.6130694
허동물병원,대구광역시 수성구 수성동2가 60번지 1호  4호,35.8546537,128.616336
사랑동물병원,대구광역시 수성구 수성동4가 1236번지 44호,35.861085,128.6100768
캣츠&독스동물병원,대구광역시 수성구 수성동4가 1186번지 76호  77호,35.8601203,128.6127931
예스동물병원,대구광역시 수성구 황금동 676번지 4호,35.8489327,128.6244253
마루동물병원,대구광역시 수성구 황금동 889번지 6호,35.840507,128.6192507
수성동물병원,대구광역시 수성구 중동 400번지 10호,35.8391026,128.6118732
올펫 동물병원,대구광역시 수성구 상동 279번지 2호,35.8332631,128.6111488
리즈 동물병원,대구광역시 수성구 두산동,35.8294408,128.6205833
정동물병원,대구광역시 수성구 지산동 1258번지 11호,35.8256562,128.631844
지산동물병원,대구광역시 수성구 지산동 1258번지 13호,35.8257438,128.6316389
예일동물병원,대구광역시 수성구 지산동 1268번지 14호,35.826209,128.6334853
이수의과동물병원,대구광역시 수성구 지산동 1157번지 22호,35.8268305,128.628584
두산메디펫동물병원,대구광역시 수성구 지산동 1054번지 1호,35.832196,128.6239367
다원 동물병원,대구광역시 수성구 신매동 183번지,35.8375901,128.7121879
y동물병원,대구광역시 수성구 시지동 258번지 13호 1층,35.8423416,128.6974845
대구동물메디컬센터,대구광역시 수성구 지산동 1051번지,35.8335092,128.6241185
대구24시 야간응급연합동물병원,대구광역시 수성구 지산동 1051번지 3층,35.8335092,128.6241185
유니온동물의료센터,대구광역시 수성구 황금동 848번지 1호,35.8403371,128.6231636
시지동물병원,대구광역시 수성구 시지동 462번지 121호,35.8414545,128.6870337
마리동물병원,대구광역시 수성구 만촌동 1356번지 7호 메트로팔레스2단지아파트,35.8691312,128.6363303
범어동물의료센터,대구광역시 수성구 수성동3가 10번지,35.8591599,128.6199206
펫 동물병원,대구광역시 수성구 노변동 4번지 2호,35.8418414,128.7008884
스마트동물병원,범어동 774-45번지 수성구 대구광역시 KR,35.853519,128.624659
따뜻한 on동물병원,대구광역시 수성구 수성동4가 985-35,35.859993,128.621881
에피소드 동물병원,대구광역시 수성구 만촌3동 859-2,35.855583,128.652249
곰아저씨 동물병원,대구광역시 수성구 수성동4가 1017번지 32호,35.861595,128.618034
그랜드벳동물병원,대구광역시 수성구 신매동 261번지 16호,35.8385294,128.711717
세인트동물병원,대구광역시 수성구 만촌동 1025번지 35호,35.8578378,128.6450578
퍼스트동물병원,대구광역시 수성구 지산동 1157번지 46호,35.8264055,128.6297184
멘토동물병원,대구광역시 수성구 범물동 1271번지 2호 덕암빌딩 2층,35.8215827,128.6405977
베트문동물병원,대구광역시 수성구 범물동 1275번지 4호,35.8203723,128.6419447
한마음종합동물병원,대구광역시 달서구 두류동 472번지 11호,35.856877,128.557715
헬로우동물병원,대구광역시 달서구 용산동 499번지 1호,35.8585542,128.5214172
용산종합동물병원,대구광역시 달서구 감삼동 105번지 1호,35.8537394,128.5475539
베스트 종합 동물병원,대구광역시 달서구 감삼동 600번지 17호,35.8494621,128.5336429
온누리동물병원,대구광역시 달서구 이곡동 541번지 9호,35.8515962,128.5008226
문종합동물병원,대구광역시 달서구 이곡동 1000번지 125호,35.8506527,128.5125364
오 동물병원,대구광역시 달서구 월성동 1832번지,35.824521,128.525405
해맑은동물병원,대구광역시 달서구 진천동 508번지 진천역 대성스키이렉스 상가1층 401동 127호,35.8133858,128.523648
애플동물병원,대구광역시 달서구 진천동 574번지 1호,35.8154944,128.5236873
가람동물병원,대구광역시 달서구 상인동 240번지 9호,35.8167377,128.5392966
어진종합동물병원,대구광역시 달서구 상인동 255번지 2호,35.8174343,128.5338656
도원동물병원,대구광역시 달서구 상인동 1332번지 18호,35.8086884,128.5475709
제이엘동물병원,대구광역시 달서구 상인동 188번지 4호,35.8185347,128.5343045
세림종합동물병원,대구광역시 달서구 송현동 56번지 1호 나동 2층,35.8239086,128.5571069
삼일동물병원,대구광역시 달서구 송현동 195번지 1호,35.8337053,128.5549052
25시종합동물병원,대구광역시 달서구 송현동 1914번지 15호,35.8243279,128.5456619
(주)죽전동물메디컬센터,"대구광역시 달서구 용산동 208번지 27호 k타워 1,2층",35.8500675,128.5333126
이곡종합동물병원,대구광역시 달서구 이곡동 1238번지 6호,35.855533,128.5096482
미르동물병원,대구광역시 달서구 이곡동 538번지 3호,35.8522117,128.5012826
종합동물병원,대구광역시 달서구 성당동 211번지 1호,35.8394168,128.5586521
이룸동물병원,대구광역시 달서구 도원동 1436번지 9호,35.8069453,128.5375762
두남자동물병원,대구광역시 달서구 진천동 657번지 1호,35.813115,128.5199216
수목원동물병원,대구광역시 달서구 대곡동 1071번지 2호,35.798294,128.5288991
돌봄동물메디컬클리닉,대구광역시 달서구 월성동 1540번지 2호 원더풀스파랜드 203호,35.8245153,128.5245225
24시 응급 수호동물병원,대구광역시 달서구 대천동 326번지 1호 이안월배아파트 상가동 103호,35.8193572,128.5199816
탑스동물메디컬센터,"대구광역시 달서구 상인동 72번지 1호 상인중석타운 상가101호, 지하B001호",35.8194131,128.5361745
본 동물메디컬센터,대구광역시 달서구 진천동 44번지 4호,35.817072,128.5318303
본리종합동물병원,대구광역시 달서구 장기동 566번지 4호,35.8422358,128.5308879
라파동물병원,대구광역시 달서구 본리동 62번지 6호,35.8432809,128.5376741
THE나은동물병원,대구광역시 달서구 도원동 1435번지,35.8086755,128.536228
앨리스in동물병원,대구광역시 달서구 월성동 1811번지 그루메디컬 105호,35.8356306,128.5262415
이솝동물병원,대구광역시 달서구 대곡동 7번지 6호,35.8081163,128.5100068
24시프라임동물병원,대구광역시 달서구 대곡동 964번지,35.8103091,128.5153355
초록동물병원,대구광역시 달서구 진천동 595번지 26호,35.8141246,128.5230221
하나동물병원,대구광역시 달서구 상인동 1595번지 3호,35.8224152,128.5317973
미소동물병원,대구광역시 달서구 감삼동 171번지 4호,35.8465344,128.5375256
도그플러스동물병원,대구광역시 달서구 용산동 230번지 11호 홈플러스 성서점 지하1층,35.8492916,128.5272736
위드동물병원,대구광역시 달서구 진천동 576번지 1호,35.8144402,128.5248479
성서종합동물병원,대구광역시 달서구 이곡동 1248번지 5호,35.8550442,128.5114121
두류동물병원,대구광역시 달서구 성당동 211번지 3호,35.8393219,128.5585097
박물관옆동물병원,대구광역시 달서구 본동 821번지 2호,35.8371038,128.5427529
광장동물병원,대구광역시 달서구 두류동 487번지 25호,35.8566918,128.5552912
포산동물병원,대구광역시 달성군 현풍읍 원교리 60번지,35.6926455,128.4419277
달성축산동물병원,대구광역시 달성군 현풍읍 원교리 588번지,35.6745771,128.4458225
다사종합동물병원,대구광역시 달성군 다사읍 죽곡리 23번지 6호,35.861492,128.4630282
구지동물병원,대구광역시 달성군 구지면 창리 429번지 9호 1통 1반,35.6590131,128.4112188
달창동물병원,대구광역시 달성군 현풍읍 부리 416번지 1호,35.6967423,128.4460519
테크노연합 동물병원,대구광역시 달성군 유가읍 봉리 583번지 2호,35.6938763,128.4597716
서재동물병원,대구광역시 달성군 다사읍 서재리 134번지 1호,35.8759665,128.4972727
비슬동물병원,대구광역시 달성군 유가읍 봉리 619번지 테크노폴리스 M스퀘어+,35.6931172,128.4630248
제이스동물병원,대구광역시 달성군 다사읍 세천리 1566번지 2호 세천삼정그린코아더베스트아파트2단지,35.8632884,128.461143
대구착한동물병원,대구광역시 달성군 다사읍 서재리 181번지,35.8678384,128.4939918
도담동물병원,대구광역시 달성군 현풍읍 중리 491번지 2호 타임스퀘어,35.6921852,128.4504959
25시 죽곡동물병원,대구광역시 달성군 다사읍 죽곡리 813번지  204호,35.8500337,128.4642154
명곡역 동물병원,대구광역시 달성군 화원읍 명곡리 213번지,35.7993587,128.4908071
119동물병원,대구광역시 달성군 다사읍 매곡리 1551번지 1호  102호,35.8571848,128.4666856
화원연합동물병원,대구광역시 달성군 화원읍 천내리 156번지 1호,35.8036965,128.4974581
현풍동물병원,대구광역시 달성군 유가읍 봉리 613번지,35.6931234,128.4660707
힐링동물병원,대구광역시 달성군 다사읍 죽곡리 산 61번지 2호,35.8602661,128.4625748
달성축협동물병원,대구광역시 달성군 현풍읍 대리 186번지,35.6674664,128.4416453
25시 죽곡동물병원,대구광역시 달성군 다사읍 죽곡리 813번지  204호,35.8500337,128.4642154
제이스동물병원,대구광역시 달성군 다사읍 세천리 1566번지 2호 세천삼정그린코아더베스트아파트2단지,35.8632884,128.461143
도담동물병원,대구광역시 달성군 현풍면 중리 491번지 2호 타임스퀘어,35.6921852,128.4504959